SourceOccurrenceId	SourceTaxonId	Kingdom	Phylum	Class	Order/Subclass/Superorder	Superfamily	Family	Species	IUCN Status	Habitat	Citation	ReportedSpeciesName	ReportedSourceFamily	TypeOfIncon	LocalityID	LocalityName	YYYY	DOI	referenceUrl	ReferenceCitation
1	WORMS:737456 	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pila ampullacea (Linnaeus, 1758)	Least Concern	Freshwater	Ng et al. (2017)	Pila ampullacea (Linnaeus, 1758)	Ampullariidae		1733039	Sabah	2017	https://doi.org/10.3897/zookeys.673.1254	https://zookeys.pensoft.net/articles.php?id=12544	Ng, T. H., Dulipat, J., Foon, J. K., Lopes-Lima, M., Zieritz, A., & Liew, T. S. (2017). A preliminary checklist of the freshwater snails of Sabah (Malaysian Borneo) deposited in the BORNEENSIS collection, Universiti Malaysia Sabah. ZooKeys, 673, 105–123. 
2	WORMS:739934	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pila scutata (Mousson, 1848)	Least Concern	Freshwater	Ng et al. (2017)	Pila scutata (Mousson, 1848)	Ampullariidae		1733039	Sabah	2017	https://doi.org/10.3897/zookeys.673.12544	https://zookeys.pensoft.net/articles.php?id=12544	Ng, T. H., Dulipat, J., Foon, J. K., Lopes-Lima, M., Zieritz, A., & Liew, T. S. (2017). A preliminary checklist of the freshwater snails of Sabah (Malaysian Borneo) deposited in the BORNEENSIS collection, Universiti Malaysia Sabah. ZooKeys, 673, 105–123. 
3	WORMS:741389	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pomacea bridgesii (Reeve, 1856)	Least Concern	Freshwater	Hamli et al. (2013)	Pomacea bridgesii (Reeve, 1856)	Ampullariidae 		1733038	Sarawak	2013	https://doi.org/10.3923/jfas.2013.412.418	https://scialert.net/abstract/?doi=jfas.2013.412.418	Hamli, H., Idris, M. H., Abu Hena, M. K., Wong, S. K., & Arshad, A. (2013). Checklist and habitat descriptions of edible gastropods from Sarawak, Malaysia. Journal of Fisheries and Aquatic Science, 8(2), 412–418.
4	WORMS:741113	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pomacea canaliculata (Lamarck, 1822)	Least Concern	Freshwater	Hamli et al. (2013)	Pomacea canaliculata (D'Orbigny, 1835)	Ampullariidae 	WrongAuthorName	1733038	Sarawak	2013	https://doi.org/10.3923/jfas.2013.412.418	https://scialert.net/abstract/?doi=jfas.2013.412.418	Hamli, H., Idris, M. H., Abu Hena, M. K., Wong, S. K., & Arshad, A. (2013). Checklist and habitat descriptions of edible gastropods from Sarawak, Malaysia. Journal of Fisheries and Aquatic Science, 8(2), 412–418.
5	WORMS:737472	Animalia	Mollusca	Gastropoda	Architaenioglossa	Ampullarioidea	Ampullariidae	Pomacea sp.1 Perry, 1810	Not Evaluated	Freshwater	Ng et al. (2017)	Pomacea sp. Perry, 1810	Ampullariidae		1733039	Sabah	2017	https://doi.org/10.3897/zookeys.673.12544	https://zookeys.pensoft.net/articles.php?id=12544	Ng, T. H., Dulipat, J., Foon, J. K., Lopes-Lima, M., Zieritz, A., & Liew, T. S. (2017). A preliminary checklist of the freshwater snails of Sabah (Malaysian Borneo) deposited in the BORNEENSIS collection, Universiti Malaysia Sabah. ZooKeys, 673, 105–123. 
6	WORMS:181091	Animalia	Mollusca	Gastropoda	Heterobranchia	Architectonicoidea	Architectonicidae	Architectonica sp.1 Röding, 1798	Not Evaluated	Marine	Al-Asif et al. (2020)	Architectonica sp.	Architectonicidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
7	WORMS:138814	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Assiminea grayana J. Fleming, 1828	Least Concern	Marine	Al-Asif et al. (2020)	Assiminea grayana	Assimineidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
8	WORMS:225185	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Assiminea ovata (F. Krauss, 1848)	Least Concern	Marine	Al-Asif et al. (2020)	Assiminea ovate	Assimineidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
9	WORMS:872442	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Assiminea woodmasoniana G. Nevill, 1880	Least Concern	Marine	Ashton et al. (2003)	Assiminea (Austropilula) woodmasoniana Nevill, 1880	Assimineidae		1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
10	WORMS:1308264	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Austropilula beddomeana (G. Nevill, 1880)	Not Evaluated	Marine	Ashton et al. (2003)	Assiminea (Austropilula) beddomeana Nevill, 1880	Assimineidae	Unaccepted (original combination)	1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
11	WORMS:1325889	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Metassiminea philippinica (O. Boettger, 1887)	Not Evaluated	Marine	Ashton et al. (2003)	Assiminea (Metassiminea) philippinica O. Boettger, 1887	Assimineidae	Unaccepted (basionym)	1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
12	WORMS:1325893 	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Optediceros breviculum (Pfeiffer, 1855)	Not Evaluated	Marine	Al-Asif et al. (2020)	Optediceros breviculum	Assimineidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
13	WORMS:1325893	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Optediceros breviculum (Pfeiffer, 1855)	Not Evaluated	Marine	Matsumoto et al. (2017)	Assiminea brevicula	Assimineidae	Unaccepted	1736483	Marudu Bay	2017		https://iwlearn.net/resolveuid/9edc3b9c-24ac-47a8-a1c7-fb1c2ff9da7b	Matsumoto, M. B., Saleh, E., Waheed, Z., Muhammad Ali, S., & Madin, J. (2017). Marine profiling of Marudu Bay, Sabah, Malaysia: Final Report.pp.88.
14	WORMS:1325893	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Optediceros breviculum (Pfeiffer, 1855)	Not Evaluated	Marine	Ashton et al. (2003)	Assiminea (Sphaerassiminea) brevicula Pfeiffer, 1854	Assimineidae	Unaccepted	1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
15	WORMS:1308274	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Assimineidae	Sculptassiminea microsculpta (G. Nevill, 1880)	Not Evaluated	Marine	Ashton et al. (2003)	Assiminea (Sculptassiminea) microsculpta Nevill, 1880	Assimineidae	Unaccepted (original combination)	1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
16	WORMS:576304	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Batillariidae	Batillaria cumingii (Crosse, 1862)	Not Evaluated	Marine	Shabdin and Hidir (2008)	Batillaria cumingi		taxon inquirendum	1751136	Pendam	2008		https://www.academia.edu/2572976/PLANT_AND_GASTROPODS_ZONATIONIN_SUNGAI_SEJAIE_MANGROYE_SARAWAK	Shabdin, M. L., & Hidir, M. (2008). Plant and gastropods zonation in Sungai Sejaie Mangrove, Sarawak. The Sarawak Museum Journal, 65, 301–313.
17	WORMS:397022	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Batillariidae	Batillaria zonalis (Bruguière, 1792)	Not Evaluated	Marine	Al-Asif et al. (2020)	Batillaria zonalis	Batillariidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
18	WORMS:370445	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Batillariidae	Batillaria sp.1 Benson, 1842	Not Evaluated	Marine	Shabdin et al. (2014)	Batillaria sp.			1735616	Sampadi Island	2014		https://www.researchgate.net/publication/269395974_Marine_Gastropod_and_Bivalves_of_Sampadi_Island_Lundu_Sarawak	Shabdin, M.L., Azizil, A., Abg, F., Atiqah, S., & Rahim, A. (2014). Marine gastropod and bivalves of Sampadi Island, Lundu, Sarawak. Proceedings of Aquatic Science Colloquium on Pulau Sampadi Marine Life Expedition, September, 75–87.
19	WORMS:182698	Animalia	Mollusca	Gastropoda	Littorinimorpha	Truncatelloidea	Bithyniidae	Bithynia sp.1 Leach, 1818	Not Evaluated	Freshwater	Shabdin (2010)	Bithynia sp.1 Leach, 1818			1735843	Rajang delta	2010		https://www.ums.edu.my/ibtpv2/images/publication/JTBC/JTBC-VOL-7/2%20-%20shabdin.pdf	Shabdin, Mohd Long. (2010). Macrofauna of Rajang River, Sarawak, Malaysian Borneo. Journal of Tropical Biology and Conservation, 7(1), 11–30.
20	WORMS:490671	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinoidea	Buccinidae	Aeneator comptus (Finlay, 1924)	Not Evaluated	Marine	Morni et al. (2017)	Aeneator comptus (Finlay, 1924)	Buccinidae		1733038	EEZ, Sarawak	2017		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5300008/	Morni, W. Z. W., Rahim, S. A. K. A., Rumpet, R., Musel, J., & Hassan, R. (2017). Checklist of Gastropods from the Exclusive Economic Zone (EEZ), Sarawak, Malaysia. Tropical Life Sciences Research, 28(1), 117–129.
21	WORMS:491301	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricoidea	Buccinidae	Preangeria dentata (Schepman, 1911)	Not Evaluated	Marine	Raven (2016)	Preangeria dentata (Schepman, 1911)	Buccinidae		1756242	Sabah and Sarawak	2016		https://www.researchgate.net/profile/Han-Raven/publication/318299888_A_revision_of_Taurasia_Gastropoda_Muricidae_and_Preangeria_Gastropoda_Buccinidae_with_comments_on_Semiricinula_and_Orania_from_NW_Borneo/links/59d7d43fa6fdcc2aad064deb/A-revision-of-Taurasia-Gastropoda-Muricidae-and-Preangeria-Gastropoda-Buccinidae-with-comments-on-Semiricinula-and-Orania-from-NW-Borneo.pdf	Raven, H. (2016). Notes on molluscs from NW Borneo . 3 . A revision of Taurasia ( Gastropoda , Muricidae ) and Preangeria ( Gastropoda , Buccinidae ) with comments on Semiricinula from NW Borneo 1. Vita Malacologica, 15, 77–104.
22	WORMS:716351	Animalia	Mollusca	Gastropoda	Hygrophila	Lymnaeoidea	Bulinidae	Indoplanorbis exustus (Deshayes, 1833)	Least Concern	Freshwater	Ng et al. (2017)	Indoplanorbis exustus (Deshayes, 1834)	Planorbidae	FamilyChanged	1733039	Sabah	2017	https://doi.org/10.3897/zookeys.673.12544	https://zookeys.pensoft.net/articles.php?id=12544	Ng, T. H., Dulipat, J., Foon, J. K., Lopes-Lima, M., Zieritz, A., & Liew, T. S. (2017). A preliminary checklist of the freshwater snails of Sabah (Malaysian Borneo) deposited in the BORNEENSIS collection, Universiti Malaysia Sabah. ZooKeys, 673, 105–123. 
23	WORMS:216963	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Bursidae	Bufonaria rana (Linnaeus, 1758)	Not Evaluated	Marine	Abu Hena et al. (2016)	Bursa subgranosa			1743770	Sibuti	2016		https://www.researchgate.net/publication/309589750_Diversity_of_Macro-benthos_in_the_Mangrove_Forest_of_Kuala_Sibuti_Miri_Sarawak	Abu Hena, M. K., Idris, M. H., Khairul, R. M. Y., Bhuiyan, M. K. A., Hoque, N., & Kumar, U. (2016). Diversity of macro-benthos in the mangrove forest of Kuala Sibuti, Miri, Sarawak. Malaysia International Biology Symposium (i-SIMBIOMAS 2016).
24	WORMS:1472303	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Bursidae	Dulcerana granularis (Röding, 1798)	Not Evaluated	Marine	Wong and Arshad (2011)	Bursa granularis (Röding, 1798)	Bursidae	Unaccepted (original combination)	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
25	WORMS:476453	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Bursidae	Bursa lamarckii (Deshayes, 1853)	Not Evaluated	Marine	Wong and Arshad (2011)	Bursa lamarckii Deshayes	Bursidae	YearChanged	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
26	WORMS:216998	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Bursidae	Tutufa bubo (Linnaeus, 1758)	Not Evaluated	Marine	Wong and Arshad (2011)	Bursa lampas Linnaeus	Bursidae	YearChanged	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
27	WORMS:208963	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Cassidae	Cassis cornuta (Linnaeus, 1758)	Not Evaluated	Marine	Morni et al. (2017)	Cassis cornuta (Linnaeus, 1758)	Cassidae		1733038	EEZ, Sarawak	2017		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5300008/	Morni, W. Z. W., Rahim, S. A. K. A., Rumpet, R., Musel, J., & Hassan, R. (2017). Checklist of Gastropods from the Exclusive Economic Zone (EEZ), Sarawak, Malaysia. Tropical Life Sciences Research, 28(1), 117–129.
28	WORMS:208963	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Cassidae	Cassis cornuta (Linnaeus, 1758)	Not Evaluated	Marine	Wong and Arshad (2011)	Cassis cornuta (Linnaeus, 1758)	Cassidae		1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
29	WORMS:217006	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Cassidae	Phalium glaucum (Linnaeus, 1758)	Not Evaluated	Marine	Morni et al. (2017)	Phalium glaucum (Linnaeus, 1758)	Cassidae		1733038	EEZ, Sarawak	2017		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5300008/	Morni, W. Z. W., Rahim, S. A. K. A., Rumpet, R., Musel, J., & Hassan, R. (2017). Checklist of Gastropods from the Exclusive Economic Zone (EEZ), Sarawak, Malaysia. Tropical Life Sciences Research, 28(1), 117–129.
30	WORMS:591479	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Cassidae	Semicassis glabrata (Dunker, 1852)	Not Evaluated	Marine	Morni et al. (2017)	Semicassis glabrata (Dunker, 1852)	Cassidae		1733038	EEZ, Sarawak	2017		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5300008/	Morni, W. Z. W., Rahim, S. A. K. A., Rumpet, R., Musel, J., & Hassan, R. (2017). Checklist of Gastropods from the Exclusive Economic Zone (EEZ), Sarawak, Malaysia. Tropical Life Sciences Research, 28(1), 117–129.
31	WORMS:419784	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tonnoidea	Cassidae	Semicassis granulata (Born, 1778)	Not Evaluated	Marine	Al-Asif et al. (2020)	Semicassis granulata	Cassidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
32	WORMS:224572	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Cerithium atratum (Born, 1778)	Not Evaluated	Marine	Al-Asif et al. (2020)	Cerithium atratum	Cerithiidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
33	WORMS:473098	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Cerithium coralium Kiener, 1841	Least Concern	Marine	Al-Asif et al. (2020)	Cerithium coralium	Cerithiidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
34	WORMS:216687	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Cerithium litteratum (Born, 1778)	Not Evaluated	Marine	Shabdin et al. (2014)	Cerithium litteratum			1735616	Sampadi Island	2014		https://www.researchgate.net/publication/269395974_Marine_Gastropod_and_Bivalves_of_Sampadi_Island_Lundu_Sarawak	Shabdin, M.L., Azizil, A., Abg, F., Atiqah, S., & Rahim, A. (2014). Marine gastropod and bivalves of Sampadi Island, Lundu, Sarawak. Proceedings of Aquatic Science Colloquium on Pulau Sampadi Marine Life Expedition, September, 75–87.
35	WORMS:139062	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Cerithium nodulosum Bruguière, 1792	Not Evaluated	Marine	Wong and Arshad (2011)	Cerithium nodulosum Bruguière, 1792	Cerithiidae		1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
36	WORMS:216711	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Clypeomorus batillariaeformis Habe & Kosuge, 1966	Not Evaluated	Marine	Yusop (2014)	Clypeomorus batillariaeformis Habe & Kosuge, 1966	Cerithiidae		1737486	Bintulu	2014		http://discoverylib.upm.edu.my/discovery/Record/556747	Yusop, Y. (2014). Distribution and Diversity of Gastropods from Bintulu Rocky shore. Universiti Putra Malaysia.
37	WORMS:216711	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Clypeomorus batillariaeformis Habe & Kosuge, 1966	Not Evaluated	Marine	Wong and Arshad (2011)	Clypeomorus batillariaeformis Habe & Kosuge, 1966	Cerithiidae		1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
38	WORMS:216711	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Clypeomorus batillariaeformis Habe & Kosuge, 1966	Not Evaluated	Marine	Matsumoto et al. (2017)	Clypeomorus batillariaeformis	Cerithiidae		1736483	Marudu Bay	2017		https://iwlearn.net/resolveuid/9edc3b9c-24ac-47a8-a1c7-fb1c2ff9da7b	Matsumoto, M. B., Saleh, E., Waheed, Z., Muhammad Ali, S., & Madin, J. (2017). Marine profiling of Marudu Bay, Sabah, Malaysia: Final Report.pp.88.
39	WORMS:139067	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Clypeomorus bifasciata (G. B. Sowerby II, 1855)	Not Evaluated	Marine	Shabdin et al. (2014)	Clypeomorus concisus		Unaccepted (chresonym)	1735616	Sampadi Island	2014		https://www.researchgate.net/publication/269395974_Marine_Gastropod_and_Bivalves_of_Sampadi_Island_Lundu_Sarawak	Shabdin, M.L., Azizil, A., Abg, F., Atiqah, S., & Rahim, A. (2014). Marine gastropod and bivalves of Sampadi Island, Lundu, Sarawak. Proceedings of Aquatic Science Colloquium on Pulau Sampadi Marine Life Expedition, September, 75–87.
40	WORMS:473128	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Clypeomorus subbrevicula (Oostingh, 1925)	Not Evaluated	Marine	Yusop (2014)	Clypeomorus subbrevicula (Oostingh, 1925)	Cerithiidae		1737486	Bintulu	2014		http://discoverylib.upm.edu.my/discovery/Record/556747	Yusop, Y. (2014). Distribution and Diversity of Gastropods from Bintulu Rocky shore. Universiti Putra Malaysia.
41	WORMS:139068	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Rhinoclavis kochi (Philippi, 1848)	Not Evaluated	Marine	Al-Asif et al. (2020)	Rhinoclavis kochi	Cerithiidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
42	WORMS:215119	Animalia	Mollusca	Gastropoda	Caenogastropoda	Cerithioidea	Cerithiidae	Rhinoclavis sinensis (Gmelin, 1791)	Not Evaluated	Marine	Wong and Arshad (2011)	Cerithium obeliscus Bruguière	Cerithiidae	Unaccepted	1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
43	WORMS:160440	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinoidea	Columbellidae	Parvanachis obesa (C. B. Adams, 1845)	Not Evaluated	Marine	Al-Asif et al. (2020)	Parvanachis obesa	Columbellidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
