SourceOccurrenceId	SourceTaxonId	Kingdom	Phylum	Class	Order/Subclass/Superorder	Superfamily	Family	Species	IUCN Status	Habitat	Citation	ReportedSpeciesName	ReportedSourceFamily	TypeOfIncon	LocalityID	LocalityName	YYYY	DOI	referenceUrl	ReferenceCitation
520	WORMS:530807	Animalia	Mollusca	Gastropoda	Neogastropoda	Volutoidea	Volutidae	Fulgoraria hamillei (Crosse, 1869)	Not Evaluated	Marine	Al-Asif et al. (2020)	Fulgoraria hamillei	Volutidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
521	WORMS:215200	Animalia	Mollusca	Gastropoda	Neogastropoda	Volutoidea	Volutidae	Melo melo (Lightfoot, 1786)	Not Evaluated	Marine	Hamli et al. (2012a)	Melo melo	Volutidae		1733038	Sarawak	2012	https://doi.org/10.18517/ijaseit.2.4.202	http://ijaseit.insightsociety.org/index.php?option=com_content&view=article&id=9&Itemid=1&article_id=202	Hamli, H., Idris, M. H., Abu Hena, M. K., & Wong, S. K. (2012a). Diversity of edible mollusc (Gastropoda and Bivalvia) at selected divison of Sarawak, Malaysia. International Journal on Advanced Science, Engineering and Information Technology, 2(4), 5–7. 
522	WORMS:215200	Animalia	Mollusca	Gastropoda	Neogastropoda	Volutoidea	Volutidae	Melo melo (Lightfoot, 1786)	Not Evaluated	Marine	Hamli et al. (2013)	Melo melo (Lightfoot, 1786)	Volutidae 		1733038	Sarawak	2013	https://doi.org/10.3923/jfas.2013.412.418	https://scialert.net/abstract/?doi=jfas.2013.412.418	Hamli, H., Idris, M. H., Abu Hena, M. K., Wong, S. K., & Arshad, A. (2013). Checklist and habitat descriptions of edible gastropods from Sarawak, Malaysia. Journal of Fisheries and Aquatic Science, 8(2), 412–418.
523	WORMS:215200	Animalia	Mollusca	Gastropoda	Neogastropoda	Volutoidea	Volutidae	Melo melo (Lightfoot, 1786)	Not Evaluated	Marine	Morni et al. (2017)	Melo melo (Lightfoot, 1786)	Volutidae		1733038	EEZ, Sarawak	2017		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5300008/	Morni, W. Z. W., Rahim, S. A. K. A., Rumpet, R., Musel, J., & Hassan, R. (2017). Checklist of Gastropods from the Exclusive Economic Zone (EEZ), Sarawak, Malaysia. Tropical Life Sciences Research, 28(1), 117–129.
524	WORMS:217332	Animalia	Mollusca	Gastropoda	Littorinimorpha	Stromboidea	Xenophoridae	Stellaria solaris (Linnaeus, 1764)	Not Evaluated	Marine	Morni et al. (2017)	Stellaria solaris (Linnaeus, 1764)	Xenophoridae		1733038	EEZ, Sarawak	2017		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5300008/	Morni, W. Z. W., Rahim, S. A. K. A., Rumpet, R., Musel, J., & Hassan, R. (2017). Checklist of Gastropods from the Exclusive Economic Zone (EEZ), Sarawak, Malaysia. Tropical Life Sciences Research, 28(1), 117–129.
525	WORMS:504264	Animalia	Mollusca	Bivalvia	Pectinida	Anomioidea	Anomiidae	Enigmonia aenigmatica (Holten, 1802)	Not Evaluated	Marine	Ashton et al. (2003)	Enigmonia aenigmatica (Holten, 1802)	Anomiidae		1737015	Sematan	2003	https://doi.org/10.1017/S0266467403003158	https://www.cambridge.org/core/journals/journal-of-tropical-ecology/article/baseline-study-of-the-diversity-and-community-ecology-of-crab-and-molluscan-macrofauna-in-the-sematan-mangrove-forest-sarawak-malaysia/2C21C33D600716C1AB6DD3BFD928F134	Ashton, E. C., Macintosh, D. J., & Hogarth, P. J. (2003). A baseline study of the diversity and community ecology of crab and molluscan macrofauna in the Sematan mangrove forest, Sarawak, Malaysia. Journal of Tropical Ecology, 19(2), 127–142. 
526	WORMS:504264	Animalia	Mollusca	Bivalvia	Pectinida	Anomioidea	Anomiidae	Enigmonia aenigmatica (Holten, 1802)	Not Evaluated	Marine	Raven (2019)	Enigmonia aenigmatica (Holten, 1802)			1738167	Miri	2019		https://www.researchgate.net/publication/331358040_Notes_on_molluscs_from_NW_Borneo_-_Dispersal_of_molluscs_through_nipa_rafts	Raven, H. (2019). Notes on molluscs from NW Borneo - Dispersal of molluscs through nipa rafts. The Festivus, 51(1), 3–10.
527	WORMS:137669	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Anadara sp.1 Gray, 1847	Not Evaluated	Marine	Al-Asif et al. (2020)	Anadara sp.	Arcidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
528	WORMS:207754	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Anadara antiquata  (Linnaeus, 1758)	Not Evaluated	Marine	Al-Asif et al. (2020)	Anadara antiquate	Arcidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
529	WORMS:504315	Animalia	Mollusca	Bivalvia	Arcida	Arcoidea	Arcidae	Anadara indica (Gmelin, 1791)	Not Evaluated	Marine	Al-Asif et al. (2020)	Anadara indica	Arcidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
